pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
11 Com b,11 Com,1,2,1,0,0,2007,0,323.21000000000,1.1780000000,,,4914.89848585,15.46400000,Msini,,,4874.00,13.760000,2.090000,2.450000,93.18460000
11 UMi b,11 UMi,1,1,1,0,0,2009,0,516.21997000000,1.5300000000,,,4684.81420000,14.74000000,Msini,,,4213.00,29.790000,2.780000,1.930000,125.32100000
14 And b,14 And,1,1,1,0,0,2008,0,186.76000000000,0.7750000000,,,1131.15130051,3.55900000,Msini,,,4888.00,11.550000,1.780000,2.550000,75.43920000
14 Her b,14 Her,1,1,2,0,0,2002,0,,2.8390000000,,,2828.67282230,8.90000000,Mass,,,,,0.970000,,17.93230000
16 Cyg B b,16 Cyg B,1,3,1,0,0,1996,0,798.50000000000,1.6600000000,,,565.73740000,1.78000000,Msini,,,5750.00,1.130000,1.080000,4.360000,21.13970000
17 Sco b,17 Sco,1,1,1,0,0,2020,0,578.38000000000,1.4500000000,,,1373.01871824,4.32000000,Msini,,,4157.00,25.920000,1.220000,1.700000,124.95300000
18 Del b,18 Del,1,2,1,0,0,2008,0,982.85000000000,2.4760000000,,,2926.24614325,9.20700000,Msini,,,4980.00,8.800000,2.100000,2.870000,76.22200000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,0,2008,0,,330.0000000000,,,3000.00000000,8.00000000,Mass,,1700.00,4060.00,,0.850000,,139.13500000
24 Boo b,24 Boo,1,1,1,0,0,2018,0,30.33000000000,0.1940000000,,,280.64248338,0.88300000,Msini,,,4816.00,12.190000,1.050000,2.280000,95.98630000
24 Sex b,24 Sex,1,1,2,0,0,2010,0,452.80000000000,1.3330000000,,,632.46000000,1.99000000,Msini,,,5098.00,4.900000,1.540000,3.500000,72.06910000
24 Sex c,24 Sex,1,1,2,0,0,2010,0,883.00000000000,2.0800000000,,,273.32000000,0.86000000,Msini,,,5098.00,4.900000,1.540000,3.500000,72.06910000
2M0437 b,2MASS J04372171+2651014,1,1,1,0,0,2021,0,,118.0000000000,,,1271.31362800,4.00000000,Mass,,1450.00,3100.00,0.840000,0.170000,4.500000,128.48400000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,1,2013,0,,84.0000000000,,,4131.79000000,13.00000000,Mass,,,,,0.190000,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,0,2013,0,,52.0000000000,,,7786.50000000,24.50000000,Mass,,,3530.00,,0.400000,,33.82810000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,0,2015,0,,156.0000000000,16.14096000,1.44000000,4417.83700000,13.90000000,Mass,,,3064.00,0.281000,0.108000,4.590000,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,0,1,2018,0,,,17.37392009,1.55000000,3616.88727166,11.38000000,Mass,,1723.00,,,0.046000,,66.06130000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,0,0,2024,0,,572.0000000000,,,5720.91132600,18.00000000,Mass,,2369.00,,,,,117.43500000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,0,2010,0,,15.0000000000,,,2383.60000000,7.50000000,Mass,,,,,0.019000,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,0,0,2024,0,,266.0000000000,,,8899.19539600,28.00000000,Mass,,2677.00,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,0,0,2024,0,,587.0000000000,,,6356.56814000,20.00000000,Mass,,2506.00,,,,,100.86200000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,0,2004,0,,,15.69257298,1.40000000,1652.70771640,5.20000000,Mass,,1163.00,,,,,64.30800000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,0,1,2015,0,406.00000000000,,,,591.16083702,1.86000000,Msini,,,29564.00,0.203000,0.480000,5.508000,396.33200000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,0,0,2024,0,,7493.0000000000,,,3813.94088400,12.00000000,Mass,,1616.00,,,,,34.11540000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,0,0,2016,0,,230.0000000000,,,3972.87500000,12.50000000,Mass,,,4045.00,,0.600000,,69.57370000
