pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
109 Psc b,109 Psc,2000,1075.4,2.051,12.912767999999998,2161.04,,5600.0,1.79,1.13,32.56,2,1
109 Psc c,109 Psc,2026,8.1127,,,,,5600.0,1.79,1.13,32.56,2,1
112 Psc b,112 Psc,2022,4.36305,0.054,,,,5986.0,1.801,1.1,31.7627,2,1
112 Psc c,112 Psc,2022,36336.7,22.21,,3135.4148,,5986.0,1.801,1.1,31.7627,2,1
11 Com Ab,11 Com A,2007,326.03,1.29,,,,4742.0,19.0,2.7,110.6,1,1
11 UMi b,11 UMi,2009,516.22,1.54,,,,4340.0,24.08,1.8,119.5,1,1
14 And Ab,14 And A,2008,185.84,0.83,,,,4813.0,11.0,2.2,76.4,1,1
14 Her b,14 Her,2002,1767.56,2.839,,2828.42,,5311.0,0.708,0.9,18.1,2,1
14 Her c,14 Her,2006,52160.0,20.0,,2510.6200000000003,,5311.0,0.708,0.9,18.1,2,1
2M1510 A,,2002,20.90769,,,10487.4,,,,,,945,1
16 Cyg Bb,16 Cyg B,1996,799.5,1.68,,,,5766.0,0.98,1.01,21.41,1,1
18 Del Ab,18 Del A,2008,993.3,2.6,,,,4979.0,8.5,2.3,73.1,1,1
1RXS 1609 b,1RXS 1609,2008,,305.0,19.0553,2097.48,1800.0,4060.0,1.35,0.73,145.0,1,1
1RXS J103137.1-690205  b,1RXS J103137.1-690205,2022,,1725.0,,11599.7,,4862.13,1.06,0.87,167.612736,1,1
2M1510 (AB)b,2M1510(AB),2025,100.0,,,9.8518,,,,0.066,35.51,1,1
1RXS J105010.3-140431 b,1RXS J105010.3-140431,2001,1.48,,,4767.0,,18500.0,,,109.38,1,1
1RXS J125608.8-692652 (AB)b,1RXS J125608.8-692652,2024,,503.0,,14142.1,,3971.38,1.831,0.7,98.6,1,1
1RXS J131752.0-505845 b,1RXS J131752.0-505845,2022,,5230.0,,8612.380000000001,,4154.74,1.326,0.8,157.0,2,1
1RXS J235133.3+312720 Ab,1RXS J235133.3+312720 A,2012,,120.0,,10169.6,,,,0.45,,1,1
1SWASP J1407 b,1SWASP J1407,2012,3725.0,3.9,,,,4400.0,0.99,0.9,133.0,1,1
23 Lib b,23 Lib,1999,258.19,0.81,,572.0400000000001,,5740.0,1.25,1.07,22.2,2,1
23 Lib c,23 Lib,2009,5000.0,5.8,,603.82,,5740.0,1.25,1.07,22.2,2,1
24 Boo b,24 Bo&ouml;,2018,30.3506,0.19,,,,4893.0,10.64,0.99,100.0,1,1
24 Sex b,24 Sex,2010,452.8,1.333,,,,5098.0,4.9,1.54,72.2084,2,1
24 Sex c,24 Sex,2010,883.0,2.08,,,,5098.0,4.9,1.54,72.2084,2,1
270-1954,,2025,,,,5720.400000000001,,,,,,945,1
2M 1101-7732 A,,2004,,,,15890.0,2838.0,,,,,945,1
2M 1101-7732 B,,2004,,240.0,,7945.0,2632.0,,,,,945,1
2M1207 A,,2005,,,39.2315,6324.219999999999,2500.0,,,,,945,1
2M1207 Ab,,2004,,42.0,15.692599999999999,1747.9,1174.0,,,,,945,1
2M1510 (AB)c,,2019,10950.0,4.4,,5618.704,,,,,,945,1
2M1510 B,,2020,20.90769,,,10554.138,,,,,,945,1
2M1510 C,,2020,,250.0,17.59813,11917.5,2657.0,,,,,945,1
2MASS J0001+1535,,2022,,,13.67498,10487.4,1725.0,,,,,945,1
2MASS J0004-6410,,2010,,,,6095.404,1896.0,,,,,945,1
VVV-FPP 006 B,,2026,,,,3527.58,,,,,,945,1
2MASS J0010+1715 b,2MASS J0010+1715,2024,,739.0,,18273.5,,,,,40.877,1,1
2MASS J0019-6226,HIP 1481 A,2015,,,,4728.8640000000005,,6147.0,1.11,1.17,40.82,2,1
2MASS J0021-4514 b,2MASS J0021-4514,2024,,3900.0,,9534.0,,3182.0,0.2198,0.189,54.5012,1,1
2MASS J0030-1450,,2022,,,15.244240000000001,3178.0,1264.0,,,,,945,1
2MASS J0031+5749,,2022,,,13.4508,7627.200000000001,1343.0,,,,,945,1
2MASS J0033-1521,,2003,,,16.028869999999998,9232.09,1887.0,,,,,945,1
2MASS J0034+0523,,2004,,,10.53646,13388.914,899.0,,,,,945,1
2MASS J00413538-5621127 A,,2009,,,,9534.0,,,,,,945,1
2MASS J00413538-5621127 B,,2010,45990.0,8.9,,4767.0,,,,,,945,1
2MASS J0045+1634,,2019,,,18.15858,7217.238,1987.0,,,,,945,1
2MASS J0050-3322,,2005,,,10.53646,12820.052000000001,836.0,,,,,945,1
2MASS J0051-5913 b,2MASS J0051-5913,2017,10034580.0,462.0,,9534.0,,3072.0,0.281,0.256,42.4752,1,1
