pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
11 Com b,11 Com,1,2,1,0,0,2007.0,0,323.21,1.178,,,4914.89848585,15.464,Msini,,,4874.0,13.76,2.09,2.45,93.1846
11 UMi b,11 UMi,1,1,1,0,0,2009.0,0,516.21997,1.53,,,4684.8142,14.74,Msini,,,4213.0,29.79,2.78,1.93,125.321
14 And b,14 And,1,1,1,0,0,2008.0,0,186.76,0.775,,,1131.15130051,3.559,Msini,,,4888.0,11.55,1.78,2.55,75.4392
14 Her b,14 Her,1,1,2,0,0,2002.0,0,1773.40002,2.839,,,2828.6728223,8.9,Mass,,,5338.0,0.93,0.97,,17.9323
16 Cyg B b,16 Cyg B,1,3,1,0,0,1996.0,0,798.5,1.66,,,565.7374,1.78,Msini,,,5750.0,1.13,1.08,4.36,21.1397
17 Sco b,17 Sco,1,1,1,0,0,2020.0,0,578.38,1.45,,,1373.01871824,4.32,Msini,,,4157.0,25.92,1.22,1.7,124.953
18 Del b,18 Del,1,2,1,0,0,2008.0,0,982.85,2.476,,,2926.24614325,9.207,Msini,,,4980.0,8.8,2.1,2.87,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,0,0,2008.0,0,,330.0,,,3000.0,8.0,Mass,,1700.0,4060.0,,0.85,,139.135
24 Boo b,24 Boo,1,1,1,0,0,2018.0,0,30.33,0.194,,,280.64248338,0.883,Msini,,,4816.0,12.19,1.05,2.28,95.9863
24 Sex b,24 Sex,1,1,2,0,0,2010.0,0,452.8,1.333,,,632.46,1.99,Msini,,,5098.0,4.9,1.54,3.5,72.0691
24 Sex c,24 Sex,1,1,2,0,0,2010.0,0,883.0,2.08,,,273.32,0.86,Msini,,,5098.0,4.9,1.54,3.5,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,1,0,0,2021.0,0,,118.0,,,1271.313628,4.0,Mass,,1450.0,3100.0,0.84,0.17,4.5,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,1,2013.0,0,,84.0,,,4131.79,13.0,Mass,,,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,0,0,2013.0,0,,52.0,,,7786.5,24.5,Mass,,,3530.0,,0.4,,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,0,2015.0,0,,156.0,16.14096,1.44,4417.837,13.9,Mass,,,3064.0,0.281,0.108,4.59,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,0,1,2018.0,0,,,17.37392009,1.55,3616.88727166,11.38,Mass,,1723.0,,,0.046,,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,0,0,2024.0,0,,572.0,,,5720.911326,18.0,Mass,,2369.0,,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,0,2010.0,0,,15.0,,,2383.6,7.5,Mass,,,,,0.019,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,0,0,2024.0,0,,266.0,,,8899.195396,28.0,Mass,,2677.0,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,0,0,2024.0,0,,587.0,,,6356.56814,20.0,Mass,,2506.0,,,,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,0,2004.0,0,,55.0,15.69257298,1.4,1652.7077164,5.2,Mass,,1163.0,,,0.02,,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,0,1,2015.0,0,406.0,0.92,,,591.16083702,1.86,Msini,,,29564.0,0.203,0.48,5.508,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,0,0,2024.0,0,,7493.0,,,3813.940884,12.0,Mass,,1616.0,,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,0,0,2016.0,0,,230.0,,,3972.875,12.5,Mass,,,4045.0,,0.6,,69.5737
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,1,0,0,2018.0,0,,518.0,,,9534.85221,30.0,Mass,,1600.0,,,,,57.2309
4 UMa b,4 UMa,1,1,1,0,0,2006.0,0,270.27,0.877,,,2511.48007211,7.902,Msini,,,4415.0,18.11,1.234,1.8,73.4603
47 UMa b,47 UMa,1,1,3,0,0,1996.0,0,1078.0,2.1,,,804.08,2.53,Msini,,,5872.0,1.21334,1.06,4.29541,13.7967
47 UMa c,47 UMa,1,1,3,0,0,2001.0,0,2391.0,3.6,,,171.621,0.54,Msini,,,5872.0,1.21334,1.06,4.29541,13.7967
47 UMa d,47 UMa,1,1,3,0,0,2009.0,0,14002.0,11.6,,,521.22,1.64,Msini,,,5872.0,1.21334,1.06,4.29541,13.7967
51 Eri b,51 Eri,1,3,1,0,0,2015.0,0,9100.0,10.4,,,3464.3296363,10.9,Mass,,700.0,,,1.75,,29.7575
51 Peg b,51 Peg,1,1,1,0,0,1995.0,0,4.230785,0.0527,,,150.009,0.472,Msini,,,5758.0,1.17561,1.03,4.31038,15.4614
55 Cnc B b,55 Cnc B,1,2,7,0,0,2025.0,0,6.7994,0.044,,,3.5,0.01101223,Msini,,,3286.0,0.274,0.26,4.86,12.4773
55 Cnc B c,55 Cnc B,1,2,7,0,0,2025.0,0,33.747,0.13,,,5.3,0.01667566,Msini,,,3286.0,0.274,0.26,4.86,12.4773
55 Cnc b,55 Cnc,1,2,7,0,0,1996.0,0,14.651552,0.118,,,276.0,0.86839311,Msini,,,5198.0,0.98,1.015,4.3,12.5855
55 Cnc c,55 Cnc,1,2,7,0,0,2004.0,0,44.3936,0.247,,,56.6,0.17808352,Msini,,,5198.0,0.98,1.015,4.3,12.5855
55 Cnc d,55 Cnc,1,2,7,0,0,2002.0,0,4799.0,5.6,,,1214.10451474,3.82,Msini,,,5198.0,0.98,1.015,4.3,12.5855
55 Cnc e,55 Cnc,1,2,7,0,0,2004.0,0,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,Mass,,,5172.0,0.943,0.905,4.43,12.5855
